Date,Open,High,Low,Close,Adj Close,Volume
2019-03-05,1.33117,1.33591,1.331,1.33119,1.33119,0
2019-03-06,1.33557,1.3454,1.3352,1.33533,1.33533,0
2019-03-07,1.34433,1.3446,1.3414,1.3443,1.3443,0
2019-03-08,1.34436,1.34643,1.33935,1.34447,1.34447,0
2019-03-11,1.3421,1.34374,1.33952,1.3418,1.3418,0
2019-03-12,1.33965,1.34158,1.33703,1.33946,1.33946,0
2019-03-13,1.33591,1.33676,1.3311,1.3357,1.3357,0
2019-03-14,1.32995,1.33468,1.3298,1.3295,1.3295,0
2019-03-15,1.3324,1.33699,1.3289,1.33247,1.33247,0
2019-03-18,1.334,1.33568,1.33033,1.3341,1.3341,0
2019-03-19,1.334,1.33433,1.32523,1.3337,1.3337,0
2019-03-20,1.33255,1.33463,1.3316,1.3322,1.3322,0
2019-03-21,1.3287,1.3377,1.3274,1.3286,1.3286,0
2019-03-22,1.33699,1.34252,1.3352,1.3365,1.3365,0
2019-03-25,1.3423,1.34433,1.34001,1.3425,1.3425,0
2019-03-26,1.3392,1.34108,1.33718,1.3392,1.3392,0
2019-03-27,1.33799,1.34349,1.3376,1.33791,1.33791,0
2019-03-28,1.34174,1.34376,1.33988,1.34117,1.34117,0
2019-03-29,1.34301,1.34412,1.33428,1.34305,1.34305,0
2019-04-01,1.3348,1.3366,1.33362,1.3347,1.3347,0
2019-04-02,1.33129,1.33716,1.3304,1.3311,1.3311,0
2019-04-03,1.33475,1.33496,1.3295,1.3343,1.3343,0
2019-04-04,1.33461,1.33713,1.3339,1.3342,1.3342,0
2019-04-05,1.3366,1.33993,1.3347,1.33647,1.33647,0
2019-04-08,1.33737,1.33857,1.33154,1.3371,1.3371,0
2019-04-09,1.3313,1.33251,1.3284,1.33136,1.33136,0
2019-04-10,1.3328,1.33585,1.3317,1.33278,1.33278,0
2019-04-11,1.3319,1.33949,1.3315,1.33178,1.33178,0
2019-04-12,1.33798,1.33841,1.3314,1.33779,1.33779,0
2019-04-15,1.33335,1.3388,1.3297,1.33325,1.33325,0
2019-04-16,1.33697,1.34013,1.3346,1.3368,1.3368,0
2019-04-17,1.33589,1.33696,1.3275,1.33593,1.33593,0
2019-04-18,1.33498,1.33961,1.3348,1.3348,1.3348,0
2019-04-19,1.3375,1.3391,1.33626,1.3376,1.3376,0
2019-04-22,1.3382,1.3382,1.3349,1.33809,1.33809,0
2019-04-23,1.3343,1.34276,1.3343,1.33453,1.33453,0
2019-04-24,1.34294,1.35162,1.3428,1.34277,1.34277,0
2019-04-25,1.3494,1.35157,1.3481,1.3493,1.3493,0
2019-04-26,1.34791,1.3497,1.345,1.3478,1.3478,0
2019-04-29,1.346,1.34788,1.3446,1.346,1.346,0
2019-04-30,1.3455,1.34799,1.3424,1.34547,1.34547,0
2019-05-01,1.33901,1.34217,1.3375,1.33879,1.33879,0
2019-05-02,1.34388,1.3475,1.3429,1.34389,1.34389,0
2019-05-03,1.34705,1.34817,1.3405,1.34692,1.34692,0
2019-05-06,1.347,1.34932,1.3443,1.34722,1.34722,0
2019-05-07,1.34497,1.34829,1.3411,1.34489,1.34489,0
2019-05-08,1.34728,1.34857,1.3443,1.3469,1.3469,0
2019-05-09,1.3473,1.3503,1.347,1.34723,1.34723,0
2019-05-10,1.3461,1.34783,1.33803,1.34653,1.34653,0
2019-05-13,1.344,1.34758,1.3418,1.34394,1.34394,0
2019-05-14,1.34768,1.3486,1.3455,1.3476,1.3476,0
2019-05-15,1.3459,1.3492,1.34271,1.346,1.346,0
2019-05-16,1.34432,1.34453,1.3399,1.34416,1.34416,0
2019-05-17,1.34638,1.35124,1.34514,1.3462,1.3462,0
2019-05-20,1.34462,1.34462,1.34162,1.34469,1.34469,0
2019-05-21,1.34248,1.34329,1.3396,1.34272,1.34272,0
2019-05-22,null,null,null,null,null,null
2019-05-23,1.34373,1.35011,1.3435,1.34365,1.34365,0
2019-05-24,1.34739,1.34813,1.34396,1.34736,1.34736,0
2019-05-27,1.34376,1.34517,1.3428,1.3435,1.3435,0
2019-05-28,1.34374,1.34788,1.3432,1.3438,1.3438,0
2019-05-29,1.3488,1.35414,1.348,1.34875,1.34875,0
2019-05-30,1.35135,1.35194,1.3484,1.3512,1.3512,0
2019-05-31,1.35314,1.35623,1.3508,1.35249,1.35249,0
2019-06-03,1.3519,1.35227,1.34621,1.35202,1.35202,0
2019-06-04,1.34403,1.34459,1.34174,1.34415,1.34415,0
2019-06-05,1.33898,1.34101,1.3361,1.33904,1.33904,0
