formatted_date,ZQQ.TO,XQQ.TO,HXQ.TO,HXS.TO
2020-02-10,75.61564631796722,81.72403367930636,17.712499618530273,21.572500228881836
2020-02-11,75.59418344848311,81.72403367930636,17.737499237060547,21.600000381469727
2020-02-12,76.36697777086172,82.57398183893498,17.872499465942383,21.690000534057617
2020-02-13,76.27037438615969,82.41259782233905,17.857500076293945,21.684999465942383
2020-02-14,76.45284562641699,82.63853216224054,17.81999969482422,21.68000030517578
2020-02-18,76.50650689453197,82.69232957054986,17.90999984741211,21.635000228881836
2020-02-19,77.29003674605735,83.5100025685257,18.042499542236328,21.704999923706055
2020-02-20,76.56017635145638,82.72460473220264,17.899999618530273,21.657499313354492
2020-02-21,75.04678610533001,81.1000198595792,17.475000381469727,21.387500762939453
2020-02-24,72.23468344077492,78.0552786242414,17.0,20.774999618530273
2020-02-25,70.29196210568162,75.79591880856255,16.524999618530273,20.157499313354492
2020-02-26,70.57102854183154,76.25854861169377,16.61750030517578,20.110000610351562
2020-02-27,69.14350615126047,74.77383371734177,16.357500076293945,19.80500030517578
2020-02-28,67.15785907719895,72.62206871828158,15.90250015258789,19.22249984741211
2020-03-02,70.56029301268478,76.1186868417544,16.577499389648438,19.917499542236328
2020-03-03,68.70344772195617,73.74098750279273,16.31999969482422,19.459999084472656
2020-03-04,70.9144917752432,76.81801210811537,16.729999542236328,20.299999237060547
2020-03-05,69.00397702759021,74.60168857741758,16.350000381469727,19.719999313354492
2020-03-06,67.61938856479676,73.16000996804664,15.704999923706055,19.364999771118164
2020-03-09,63.05776314574301,68.31853872016119,15.487500190734863,18.235000610351562
2020-03-10,66.38506475482033,71.83667088195851,16.037500381469727,19.177499771118164
2020-03-11,63.46562727082114,68.68433893416807,15.442500114440918,18.280000686645508
2020-03-12,57.455012497307486,62.19676877533471,14.225000381469727,16.6875
2020-03-13,62.71429991233134,67.72680416625285,15.342499732971191,18.147499084472656
2020-03-16,54.836104318942326,59.65768541977711,13.779999732971191,16.28499984741211
2020-03-17,58.850336489247695,63.61693334638115,14.925000190734863,17.427499771118164
2020-03-18,56.76808603048415,60.87343379341261,14.547499656677246,16.850000381469727
2020-03-19,57.068615336118185,61.626548259750855,14.922499656677246,16.962499618530273
